Product name,Product description,Prodict link,Product unit needed,Product amount in listing,Product price euro,Product price USD
Seeed Studio XIAO nRF52840,A microcontroller for each side,Seed Studio,2,2,€17.89,€19.80
Cherry MX Black Switch 5 Pins,Keyboard switches,Aliexpress,40,50,€20.02,€23.62
EC11 Encoder With Push Button,Rotary encoder for volume,Aliexpress,1,2,€2.74,€3.23
3.7V 750mAh Battery,A battery for each side,Aliexpress,2,2,10.19 ( 0.86 with new shoppers save),12.03 or 1.01
Diodes 1N5819 SOD123,Diodes,Aliexpress,40,100,€2.13,€2.51
SK6812 MINI-E RGB,Mini LEDs for showing layout number,Aliexpress,3,100,€3.56,€4.20
Blank black keycaps,Keycaps for the switches,Aliexpress,40,20,€11.16,€13.17
Left side PCB,The PCB for the left side,image bellow,5,1,€8.04,9.49
Right side PCB,The PCB for the right side,image bellow,5,1,€8.04,9.49
,,,,,,
,,,,,Price without new shopers save,€97.54
,,,,,Price with new shopers save,€86.52
,,,,,,
,,,,,Shipping from aliexpress - 2.27 euro,2.68
,,,,,Shipping from seed studio - 8.24 euro,9.72
,,,,,Shipping from JLCPCB,7